host;name;group;ip;description
NTP1_UATB_PPS1;NTP1_UATB_PPS1;新一代交易系统;199.31.233.115;新一代 UATB  NTP1   PPS1
NTP1_UATB_PPS2;NTP1_UATB_PPS2;新一代交易系统;199.31.233.116;新一代 UATB  NTP1   PPS2
NTP1_UATB_AMS1;NTP1_UATB_AMS1;新一代交易系统;199.31.224.105;新一代 UATB  NTP1   AMS1
NTP1_UATB_AMS2;NTP1_UATB_AMS2;新一代交易系统;199.31.224.106;新一代 UATB  NTP1   AMS2
NTP1_UATB_AAS1;NTP1_UATB_AAS1;新一代交易系统;199.31.224.111;新一代 UATB  NTP1   AAS1
NTP1_UATB_AAS2;NTP1_UATB_AAS2;新一代交易系统;199.31.224.112;新一代 UATB  NTP1   AAS2
NTP1_UATB_PFS1;NTP1_UATB_PFS1;新一代交易系统;199.31.224.101;新一代 UATB  NTP1   PFS1
NTP1_UATB_PFS2;NTP1_UATB_PFS2;新一代交易系统;199.31.224.102;新一代 UATB  NTP1   PFS2
NTP1_UATB_DPS1;NTP1_UATB_DPS1;新一代交易系统;199.31.224.107;新一代 UATB  NTP1   DPS1
NTP1_UATB_DPS2;NTP1_UATB_DPS2;新一代交易系统;199.31.224.108;新一代 UATB  NTP1   DPS2
NTP1_UATB_CBS1;NTP1_UATB_CBS1;新一代交易系统;199.31.224.109;新一代 UATB  NTP1   CBS1
NTP1_UATB_CBS2;NTP1_UATB_CBS2;新一代交易系统;199.31.224.110;新一代 UATB  NTP1   CBS2
NTP1_UATB_DB1;NTP1_UATB_DB1;新一代交易系统;199.31.228.111;新一代 UATB  NTP1   DB1
UATB_WGT01;UATB_WGT01;新一代交易系统;199.31.233.101;新一代 UATB  NTP1   WGT01
UATB_WGT02;UATB_WGT02;新一代交易系统;199.31.233.102;新一代 UATB  NTP1   WGT02
UATB_WGT03;UATB_WGT03;新一代交易系统;199.31.233.103;新一代 UATB  NTP1   WGT03
UATB_WGT04;UATB_WGT04;新一代交易系统;199.31.233.104;新一代 UATB  NTP1   WGT04
